language,r,auc
hiligaynon.txt,1,0.545960
hiligaynon.txt,2,0.751903
hiligaynon.txt,3,0.839742
hiligaynon.txt,4,0.797468
hiligaynon.txt,5,0.730242
hiligaynon.txt,6,0.670871
hiligaynon.txt,7,0.593331
hiligaynon.txt,8,0.520161
hiligaynon.txt,9,0.512097
middle-english.txt,1,0.515661
middle-english.txt,2,0.514210
middle-english.txt,3,0.542444
middle-english.txt,4,0.533887
middle-english.txt,5,0.522411
middle-english.txt,6,0.502097
middle-english.txt,7,0.512395
middle-english.txt,8,0.508427
middle-english.txt,9,0.512097
plautdietsch.txt,1,0.655323
plautdietsch.txt,2,0.707040
plautdietsch.txt,3,0.774677
plautdietsch.txt,4,0.753403
plautdietsch.txt,5,0.701435
plautdietsch.txt,6,0.650073
plautdietsch.txt,7,0.585581
plautdietsch.txt,8,0.519194
plautdietsch.txt,9,0.512097
xhosa.txt,1,0.619153
xhosa.txt,2,0.851694
xhosa.txt,3,0.889339
xhosa.txt,4,0.832274
xhosa.txt,5,0.764645
xhosa.txt,6,0.691581
xhosa.txt,7,0.588766
xhosa.txt,8,0.520161
xhosa.txt,9,0.512097
